Authors,Author(s) ID,Year,Source title,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords
"Li C., Zhang L., Ou Z., Wang Q., Zhou D., Ma J.","57226722613;54396501300;57226710443;55510938700;16044080000;57226711553;",2022,"Energy",16,"10.1016/j.energy.2021.121713","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112456987&doi=10.1016%2fj.energy.2021.121713&partnerID=40&md5=71db71d7809a81413db8e333f7581be4","The location of electric vehicle charging station (EVCS) is one of the critical problems that restricts the popularization of electric vehicle (EV), and the combination of EVCS and distributed renewable energy can stabilize the fluctuation of renewable energy output. This article takes a micro-grid composed of the power distribution such as wind power and photovoltaic (PV), EVCSs and energy storage systems (ESS) as the research object. The uncertainties of EVs’ charging demand and distributed renewable energy output are considered. A robust optimization model for the location of charging stations with distributed energy is proposed based on the combination of the road network and the grid. Load fluctuation rate is used to evaluate the degree of fit between the renewable energy uncertain output curve and the charging demand curve to determine the appropriate capacity of the wind and PV generation system and ESS. The method of kernel density estimation is used to improve the issue of over-conservatism of the robust optimization. Finally, a simulation is carried out on a network which consists of an IEEE 33-node power distribution network and a 25-node transportation system. The robustness and economy of the model are demonstrated by the results of simulation given. © 2021 Elsevier Ltd","Electric vehicle charging stations; Energy storage systems; Location; Renewable energy; Robust optimization","Charging (batteries); Electric power transmission networks; Energy storage; Location; Optimization; Photovoltaic cells; Wind power; Charging demands; Charging station; Electric vehicle charging; Electric vehicle charging station; Energy; Energy output; Energy storage system; Renewable energies; Robust optimization; Storage systems; Electric vehicles; alternative energy; detection method; electric vehicle; energy storage; equipment; optimization; photovoltaic system; simulation; wind power"
"Ahmadi S.E., Sadeghi D., Marzband M., Abusorrah A., Sedraoui K.","57209495560;57218379868;55054734300;6506209614;6507325355;",2022,"Energy",12,"10.1016/j.energy.2022.123223","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123742049&doi=10.1016%2fj.energy.2022.123223&partnerID=40&md5=18e8299c5c8199e6f2403540d9ea173e","This paper presents a novel decentralized bi-level stochastic optimization approach based on the progressive hedging algorithm for multi-agent systems (MAS) in multi-energy microgrids (MEMGs) to enhance network flexibility. In the proposed model, suppliers and consumers of three energy carrier of power, heat, and hydrogen are considered. This system further consists of multi-energy storage systems such as plug-in electric vehicle aggregators, thermal energy storage, and hydrogen energy storage with the application of power-to-hydrogen and hydrogen-to-power technologies. Furthermore, the Latin Hypercube Sampling method has been utilized to manage the uncertainties. In addition, a penalty function and a power exchange pricing model are evaluated by the electrical marginal price of each microgrid to determine the agreed power exchange among the MEMGs. The suggested work performs over a MAS with three MEMGs. The total profit of each microgrid is maximized over a 24-h scheduling in three diverse case studies. Ultimately, the proposed decentralized bi-level optimization approach, by converging through seven iterations, indicates an effective performance as a promising solution to a MAS-based framework. Besides, the optimal scheduling of the MEMGs were converged in the same profit for the diverse network topologies. Implementing multi-energy storage systems plays a major role in increasing total profit of MEMGs and improving the reliability performance of MAS-based structure. © 2022 Elsevier Ltd","Decentralized energy management; Hydrogen energy storage; Multi-agent system; Multi-energy microgrid; Plug-in electric vehicle; Progressive hedging algorithm","Hydrogen storage; Optimization; Profitability; Scheduling; Software agents; Decentralised; Decentralized energy; Decentralized energy management; Hydrogen energy storages; Microgrid; Multi energy; Multi-energy microgrid; Power; Progressive hedging algorithm; Stochastic optimization approach; Multi agent systems; algorithm; detection method; electric vehicle; energy storage; optimization; stochasticity"
"Rezaei N., Pezhmani Y., Khazali A.","54971889900;57250872500;35174720000;",2022,"Energy",11,"10.1016/j.energy.2021.122844","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120883661&doi=10.1016%2fj.energy.2021.122844&partnerID=40&md5=c3631ecef8cca560f29a811ec213d681","In this paper, a risk-constrained stochastic mixed-integer linear programming (MILP) model is proposed for optimal bidding strategy of a grid-connected CHP-based multi-microgrid (MMG) system in energy and reserve markets considering environmental restrictions. A reward-based demand response program is considered in the proposed framework to realize demand-side management and boost the economic performance of the MMG system. Besides, conditional value-at-risk as a proper risk-averse index is incorporated into the developed mixed-integer programming formulation to hedge the risk of the low profits associated with worst scenarios. For this study, the uncertainty of energy market price, electrical load, and power generation of renewable energy sources are taken into account through employing stochastic programming. Meanwhile, given the global policy for emissions reduction, an emission constraint is considered into the model, ensuring a more green trading strategy. The obtained simulation results over a 24-h time horizon, demonstrate that increasing the risk factor leads to the profit decrement by almost 30.37% while the conservativeness of the MMG against the risk is improved. Also, the results reveal that by increasing the value of emission factor, the system's profit is decreased by about 30.03% while the MMG would be operated more environmental-friendly. © 2021 Elsevier Ltd","Combined heat and power; Conditional value-at-risk; Demand response; Emissions; Energy and reserve scheduling; Multi-microgrids","Commerce; Economic analysis; Electric power generation; Electric utilities; Emission control; Profitability; Renewable energy resources; Risk analysis; Risk perception; Stochastic models; Stochastic programming; Stochastic systems; Value engineering; Combined-Heat and Power; Conditional Value-at-Risk; Demand response; Emission; Energy; Energy and reserve scheduling; Grid-connected; Microgrid systems; Multi micro-grids; Risk averse; Integer programming; alternative energy; demand-side management; energy management; energy market; linear programing; power generation; risk factor; simulation"
"Ferahtia S., Djeroui A., Rezk H., Houari A., Zeghlache S., Machmoum M.","57834927800;48660950200;55425573200;53163882700;36454436100;55911977200;",2022,"Energy",11,"10.1016/j.energy.2021.121777","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114183114&doi=10.1016%2fj.energy.2021.121777&partnerID=40&md5=ef6f5aec97fce62b6bc63a1f450ec8e0","This paper proposes an optimal energy management strategy (EMS) for DC microgrid. The studied system presents a commercial building power system that combines a photovoltaic array (PV), fuel cell (FC), a battery storage system and a bidirectional DC/AC grid converter. The integration of multiple power sources like renewables leads to techno-economical challenges including power quality, stability, fuel consumption, and efficiency. The proposed EMS is based on the salp swarm algorithm (SSA). This algorithm has been implemented because of considerable advantages such as its convergence properties and its reduced computing complexity. The step-by-step design of the proposed method is detailed. Then HIL tests are performed to validate the proposed EMS performances. The performance of the proposed EMS is compared with the state machine control strategy (SMC) in terms of system efficiency and fuel consumption where the obtained results prove the superiority of the proposed EMS (5.2 % fuel saving). Regarding the power quality, the proposed EMS is compared with EMS based PSO to investigate the optimizer influence, the obtained results confirm the ability of the proposed EMS to provide a superior power quality. Hence, the proposed EMS responds to the power systems challenges including power quality, fuel-saving and efficiency. © 2021 Elsevier Ltd","Battery; DC microgrid; Energy management system (EMS); Fuel cell; Particle swarm optimization (PSO); Salp swarm algorithm (SSA)","Energy management; Energy management systems; Fuel cells; Fuel economy; Fuel storage; Office buildings; Photovoltaic cells; DC microgrid; Energy; Energy management system; Fuel efficiency; Management strategies; Management systems; Micro grid; Particle swarm optimization; Power; Salp swarm algorithm; Particle swarm optimization (PSO); convergence; design; energy management; fuel cell; fuel consumption"
"Zhao H., Li B., Lu H., Wang X., Li H., Guo S., Xue W., Wang Y.","7404779739;57192188727;57205627579;57203306651;36768616400;41861444000;56237791800;54788489000;",2022,"Energy",8,"10.1016/j.energy.2021.122830","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120775512&doi=10.1016%2fj.energy.2021.122830&partnerID=40&md5=eda2711a025674bd0138e823743d5b33","The combined cooling, heating and power micro-grid (CCHP-MG) system has significant economy-environment-energy (3E) characteristics, making it valuable to evaluating its 3E performance in promoting the 3E coordinated development. Based on the energy supply structure of CCHP-MG system, this paper constructs a 3E performance evaluation index system for the CCHP-MG system from economy, environment and energy dimensions. Then, a hybrid multi-criteria decision-making (MCDM) framework is designed, involving integrated weighting method based on anti-entropy weight method and grey decision-making trial and evaluation laboratory (grey-DEMATEL), and improved technique for order preference by similarity to an ideal solution (TOPSIS) with difference and quotient grey relation analysis (DQGRA). 8 building-typed CCHP-MG systems are taken as examples for analysis. The results show that the benefits of system energy supply, equivalent emission reduction of pollutants, energy utilization and equivalent energy saving are important manifestations of CCHP-MG's 3E performance, and raising energy supply scale and renewable energy proportion are the key ways to improve CCHP-MG's 3E performance. Comparing with 4 other MCDM models, the proposed hybrid MCDM model has good applicability and effectiveness for the 3E performance evaluation of CCHP-MG system, but it is necessary to carry out targeted adjustment when applying it to other MCDM issues. © 2021 Elsevier Ltd","3E performance; CCHP micro-Grid system; Hybrid MCDM framework; Improved TOPSIS; Integrated subjective and objective weighting; Robustness and sample discrimination tests","Decision making; Energy efficiency; Energy utilization; 3e performance; CCHP micro-grid system; Discrimination tests; Hybrid multi-criteria decision-making framework; Ideal solutions; Improved technique for order preference by similarity to an ideal solution; Improved techniques; Integrated subjective and objective weighting; Microgrid systems; Multi-criteria decision making frameworks; Performance; Robustness and sample discrimination test; Emission control; alternative energy; decision making; detection method; electricity supply; emission control; heating; laboratory method; performance assessment"
"Alizadeh Bidgoli M., Ahmadian A.","37118516500;57200998435;",2022,"Energy",8,"10.1016/j.energy.2021.122036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115780757&doi=10.1016%2fj.energy.2021.122036&partnerID=40&md5=4f924db3763977da4344be3edcb9325e","This article proposes a two-stage system for the daily energy management of micro-grids (MGs) in the presence of wind turbines, photovoltaic (PV) panels, and electrical energy storage systems (ESSs). Each MG uses historical data to predict its consumers' load demand, wind speed, and solar irradiance in the first stage. In the second stage, the cooperative game method is used to determine the MG's daily dispatch and energy transaction. The paper develops a prediction model using artificial neural network (ANN) and rough neuron water cycle (RNWC) algorithms, called deep learning artificial neural network (DLANN), which is a combination of technology from the artificial neural network and WC algorithm in order to predict uncertain parameters. The above model is implemented in the 33bus power distribution system; the simulation results show that the DLANN method provides more accurate predictions than the ANN method. The results also show that a MG can achieve energy cost savings through an alliance of MGs using the cooperative game approach. Furthermore, analysis of the impact of the ESS on the operation of the MG shows that the absence of the ESS will reduce the power output of the wind turbine. © 2021 Elsevier Ltd","Demand response; Energy management of micro-grids; Energy storage system; Forecasting; Game theory; Neural network","Deep learning; Digital storage; Energy management systems; Energy storage; Forecasting; Game theory; Neural networks; Scheduling; Uncertainty analysis; Wind; Wind turbines; Artificial neural network methods; Cooperative game; Demand response; Energy management of micro-grid; Energy storage system; Game approach; Microgrid; Multi-stages; Neural-networks; Storage systems; Energy management; artificial neural network; detection method; energy management; energy storage; simulation; wind turbine"
"Yang K., Li C., Jing X., Zhu Z., Wang Y., Ma H., Zhang Y.","57218798898;56103930800;57288408100;14033478300;57218799137;57289600100;57289083500;",2022,"Energy",5,"10.1016/j.energy.2021.122105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116629594&doi=10.1016%2fj.energy.2021.122105&partnerID=40&md5=71d3b4c17c10c945cddcd40a7072e81e","To improve the utilization rate of renewable energy resources (RES) and solve energy dispatch optimization of islanded multi-microgrids (MMG), a phased algorithm based on symbiotic organisms search (SOS) and an improved multi-agent (MA) consensus algorithm (IMACA) is proposed. The structure of islanded MMG based on the MA system is established and community MG is added to make full use of RES. The algorithm including two phases is established: Maximum consumption of RES based on SOS in Phase 1 is used to redistribute the shiftable load in time and space to reduce the residual RES; Energy dispatch optimization based on IMACA in Phase 2 obtains the optimal solution gradually through error adjustment step-size and weight matrix composed of unit cost and introduces artificial operators to improve the global searching ability. The purpose of IMACA is to overcome the problems of inverse solution and the need to clarify the operation cost relationship among each unit in the traditional MA consensus algorithm. Simulation shows that the utilization rate of RES can reach 99.99% when the difference between RES and load is large at some moments, and the output of each unit can be allocated quickly and reasonably to obtain the maximum economic benefit. © 2021 Elsevier Ltd","energy dispatch optimization; improved multi-agent consensus algorithm; islanded multi-microgrids; multi-agent; symbiotic organisms search","Biology; Inverse problems; Multi agent systems; Renewable energy resources; Software agents; Systems engineering; Consensus algorithms; Energy dispatch optimization; Improved multi-agent consensus algorithm; Islanded multi-microgrid; Multi agent; Multi micro-grids; Optimisations; Symbiotic organism search; Symbiotics; Electric load dispatching; algorithm; cost-benefit analysis; energy use; optimization; symbiosis"
"Mishra D.K., Ghadi M.J., Li L., Zhang J., Hossain M.J.","56644013300;55371664700;49361790200;55491232600;57685350100;",2022,"Applied Energy",4,"10.1016/j.apenergy.2022.118665","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124666451&doi=10.1016%2fj.apenergy.2022.118665&partnerID=40&md5=b5bc680b6a74843e448d9fe0c9d6232d","The functional capability of the active distribution network is continually challenged by extreme weather and unforeseen events. A complete resilience quantification framework is required to assess the resilience of a distribution system. With this objective, a framework for demonstrating resilience enhancement through the utilization of multi-microgrids (MMGs) and mobile energy storage in extreme operating conditions is developed in this paper. In the proposed framework, four resilience indices, that is, withstand, recovery, adapt, and prevent (WRAP), are introduced. Withstand index signifies the coping capability after the event, where the MG plays a vital role. The recovery index measures the restoration after the event ends through the system reconfiguration using MGs, tie-lines, and mobile energy storage. The adapt index shows the stability of the system before and during the events. Finally, the prevent index suggests how different resources are important and responsible for fast recovery and minimizing consequences. WRAP, as a resilience quantification framework, is formulated in this study, and indices are quantified and enhanced through the MMG and mobile energy storages. The IEEE 33-bus system is considered for this study, and simulation is performed with different scenarios and measured resilience indices. It is found that appropriate reconfiguration through the use of MMG, tie-lines, and mobile storages can remarkably enhance the resilience of a distribution system. © 2022","Active distribution system; Mobile energy storage; Multimicrogrid; Resilience","Recovery; System stability; Active distribution systems; Distribution systems; Functional capabilities; Mobile energy storage; Multi micro-grids; Multimicrogrid; Resilience; Resilience index; System resiliences; Tie-line; Energy storage; distribution system; energy resource; energy storage; index method; simulation"
"Zhong X., Zhong W., Liu Y., Yang C., Xie S.","57314815100;57043986300;55670914200;56707730300;7401936935;",2022,"Energy",3,"10.1016/j.energy.2022.123428","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124617679&doi=10.1016%2fj.energy.2022.123428&partnerID=40&md5=c88379a3a4f71418d4010d75cfd02605","Multi-energy multi-microgrid (MMG) networks are considered as a promising form of energy systems that can integrate various energy resources and improve energy utilization efficiency. Carbon emission limitation, regarded as a significant factor in energy management, has received increasing attention in recent years. By taking into account both economic and environmental factors, MMG networks can offer a great opportunity to reduce operation costs and carbon emissions. In this paper, we propose an optimal energy management strategy for minimizing the operation cost of an MMG network, considering operation constraints and carbon emissions. The energy management strategy is designed to consist of a day-ahead phase and an intra-day phase to overcome the uncertainty effects of renewable energy sources (RESs) generation and load demands. We first present a day-ahead scheduling strategy for the MMG network, in which microgrids operate in a distributed manner and share electricity while preserving their privacy. We then present an intra-day scheduling strategy for each microgrid, in which the operation costs and penalty costs caused by the adjustment of energy devices and energy procurement are minimized sequentially using a rolling horizon method. Simulation results demonstrate the effectiveness of the proposed energy management strategy in lowering operation costs and carbon emissions. © 2022 Elsevier Ltd","Carbon emissions; Distributed electricity sharing; Energy management strategy; Multi-energy multi-microgrid network","Carbon; Energy management; Energy management systems; Energy utilization; Microgrids; Renewable energy resources; Scheduling; Carbon emissions; Distributed electricity sharing; Emission limitations; Microgrid; Multi energy; Multi micro-grids; Multi-energy multi-microgrid network; Operations cost; Optimal energy; Scheduling strategies; Operating costs; alternative energy; carbon emission; demand analysis; energy efficiency; energy management; environmental factor; integrated approach; smart grid; uncertainty analysis"
"Kraiem H., Flah A., Mohamed N., Messaoud M.H.B., Al-Ammar E.A., Althobaiti A., Alotaibi A.A., Jasiński M., Suresh V., Leonowicz Z., Jasińska E.","46861517500;55247309600;57197785307;57460262600;8893253900;57209694490;57193069970;57213717688;57210466291;6602973655;57204330387;",2022,"Sustainability (Switzerland)",3,"10.3390/su14052870","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127411440&doi=10.3390%2fsu14052870&partnerID=40&md5=509002733f7ff7d5e81d71f44d5b0080","An isolated micro-grid has different requirements from the traditional power grids. Several energy sources may be linked for the purpose of sharing load demand without being linked to the grid. The isolated micro-grid is made up of at least one energy generator, an energy storage system, and a load portion. Because there are several energy sources and a range of models, the power flow must be managed to ensure the safety of all hardware. Monitoring the flow of power from multiple energy sources necessitates adherence to many parameters and other requirements. As a result, the goal of this work is to identify a worthwhile solution for providing the appropriate portions with the necessary power while also obtaining the necessary energy from other sources. The approach is based on the fuzzy logic controller, which is an intelligent technology. This regulator is used in an efficient process that tries to control all of the equipment in the isolated micro-grid under investigation. The MATLAB/Simulink platform is employed for simulating this proposed system, and then, the depicted results were discussed and compared. Showing the traditional relay control, the standard PI regulator, and a neural control combination process, the achieved results prove that it is possible to reduce the battery recharge time to half; if the proposed fuzzy controller is used. Then, the established controller specifications have been used for evaluating the energy performances of the hybrid energy system under a real case situation in a specific location in the world. Consequently, the obtained results prove that this proposal power management system will be largely beneficial for such energy storage applications and an energy yield can be assured during all climatic conditions and specifications. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.","Converters; Energy management; Energy storage; Fuzzy logic control; Micro-grid; Online control; Photovoltaic energy; Simulation; Wind energy","control system; energy management; energy storage; fuel cell; fuzzy mathematics; photovoltaic system; simulation; wind power"
